statement,label,hidden_prob,hidden_pred,a6_prob,a6_pred,case_type
The crocodile is a reptile.,1,0.9999634541326,1,0.9999995802612868,1,hidden_correct_a6_correct
Exxon Mobil has headquarters in Switzerland.,0,4.385182871488666e-06,0,3.9735287495806016e-05,0,hidden_correct_a6_correct
Beryllium has the atomic number of 36.,0,0.010982070030310534,0,0.028534901675721105,0,hidden_correct_a6_correct
The walrus has the atomic number of mollusk.,0,1.1531317682057979e-05,0,4.382973218943594e-05,0,hidden_correct_a6_correct
Ruthenium is in the Lanthanide group.,0,0.03557720235352598,0,0.008908849892518021,0,hidden_correct_a6_correct
"Human uses for vulture include work, tourism, conservation.",0,0.22549682112129174,0,0.018084329777482124,0,hidden_correct_a6_correct
The bison is the heaviest land animal in north america and forms large herds for protection.,1,0.9982461785235014,1,0.9995099199172214,1,hidden_correct_a6_correct
The porcupine has a habitat of marine.,0,1.5494283998689454e-09,0,1.92013138956019e-09,0,hidden_correct_a6_correct
William Congreve invented the Congreve rocket.,1,0.9127670235354595,1,0.9448118804152671,1,hidden_correct_a6_correct
Protactinium appears in its standard state as Gas.,0,0.0030852822200763404,0,0.0006400374892862135,0,hidden_correct_a6_correct
Elihu Thomson lived in U.S.,1,0.9082866245529337,1,0.9126273092992543,1,hidden_correct_a6_correct
Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of Trading Companies.,0,0.004856054231249431,0,0.009017160136696067,0,hidden_correct_a6_correct
Nikola Tesla lived in Austrian Empire (modern-day Croatia)/U.S.,1,3.0774415959470648e-06,0,1.6211128630325004e-05,0,hidden_wrong_a6_wrong
Cayenne is a name of a country.,0,0.0006832064191557597,0,0.0017256173757959857,0,hidden_correct_a6_correct
Italy is a name of a country.,1,0.9862018503829311,1,0.9754799364854714,1,hidden_correct_a6_correct
El Salvador is a name of a city.,0,2.5930888793244946e-05,0,1.6822126130483566e-05,0,hidden_correct_a6_correct
The bee is a insect.,1,0.9994430241693313,1,0.9999805972494439,1,hidden_correct_a6_correct
Pizza is a type of food that many people enjoy.,1,0.9999978909208138,1,0.9999804739593858,1,hidden_correct_a6_correct
The rat is a mammal.,1,0.9999999261514602,1,0.9999999858633459,1,hidden_correct_a6_correct
U.S. Bancorp operates in the industry of banking.,1,0.9759926600030221,1,0.996798711455384,1,hidden_correct_a6_correct
The seagull has the atomic number of mammal.,0,7.552695482506527e-06,0,3.944463422043364e-06,0,hidden_correct_a6_correct
"Human uses for kangaroo include tourism, zoos, meat.",1,0.08160587725998673,0,0.04992547267439059,0,hidden_wrong_a6_wrong
Algeria is a name of a city.,0,3.0014743283780113e-07,0,1.863249221991257e-07,0,hidden_correct_a6_correct
Intesa Sanpaolo engages in the provision of financial products and banking services..,1,0.3688744024693784,0,0.36105304889507067,0,hidden_wrong_a6_wrong
Abu Dhabi is a name of a country.,0,0.5397246129915565,1,0.5878155995319208,1,hidden_wrong_a6_wrong
Alphabet operates in the industry of Oil & Gas Operations.,0,0.0002827332706828769,0,0.0008046989526822344,0,hidden_correct_a6_correct
"Chubb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products..",0,0.012005315116600936,0,0.018594155312980393,0,hidden_correct_a6_correct
Alexander Graham Bell lived in Germany.,0,1.218815752238305e-08,0,2.5071448765621467e-09,0,hidden_correct_a6_correct
Sofía is a Spanish feminine given name.,1,0.999907853466026,1,0.9997780073581068,1,hidden_correct_a6_correct
The shark has multiple rows of teeth that are continuously replaced throughout its life.,1,0.6407801280006836,1,0.0010625450294992518,0,hidden_correct_a6_wrong
"The water cycle excludes evaporation, condensation, precipitation, and runoff.",0,8.465725269279009e-05,0,0.007685452615255687,0,hidden_correct_a6_correct
Merck & Co. has headquarters in Germany.,0,0.9811488653072337,1,0.9915438285000818,1,hidden_wrong_a6_wrong
Reliance Industries provides banking and financial services to individuals and institutions..,0,1.689705456192439e-05,0,1.1210225444733936e-05,0,hidden_correct_a6_correct
Malaysia is a name of a city.,0,1.6299480831222133e-05,0,5.986351035999419e-06,0,hidden_correct_a6_correct
The atomic number of an element represents the number of protons in its nucleus.,1,0.9999990827547618,1,0.9999999603461405,1,hidden_correct_a6_correct
The planet Mercury is the closest planet to the sun in our solar system.,1,0.9999999998482876,1,0.9999999999568119,1,hidden_correct_a6_correct
Tunis is a city in Tunisia,1,0.9999999997885101,1,0.9999999870941896,1,hidden_correct_a6_correct
Serbia is a country.,1,0.9853743339210853,1,0.9943308379626947,1,hidden_correct_a6_correct
"Human uses for octopus include tourism, research, conservation.",0,0.20812649444412598,0,0.16820732720568715,0,hidden_correct_a6_correct
The horse uses swimming for locomotion.,0,3.8774416670557315e-05,0,9.159681480900126e-06,0,hidden_correct_a6_correct
The slug is a mollusk.,1,0.9999443020965819,1,0.9999909785088457,1,hidden_correct_a6_correct
Bandaran Seri Berjaya is a famous hotel in Bandar Berjaja.,0,7.944417502810214e-05,0,6.8879550621031896e-06,0,hidden_correct_a6_correct
Prague is a name of a country.,0,0.00019329575503161808,0,3.102606574364401e-05,0,hidden_correct_a6_correct
Hyundai Motor operates in the industry of consumer durables.,1,0.9999995745139257,1,0.9999998072725932,1,hidden_correct_a6_correct
The lobster has a diet of omnivore.,1,0.8641760682395396,1,0.9340357244942024,1,hidden_correct_a6_correct
Ytterbium appears in its standard state as Gas.,0,0.6463172814115566,1,0.3017887674134371,0,hidden_wrong_a6_correct
Praseodymium has the symbol Pr.,1,0.9954732533022151,1,0.9677351767381829,1,hidden_correct_a6_correct
The Earth has one moon.,1,3.259091118938132e-05,0,5.138829652129344e-06,0,hidden_wrong_a6_wrong
Hans Oersted invented the electromagnetism discovery.,1,0.2658768866983227,0,0.09141356327326176,0,hidden_wrong_a6_wrong
The giraffe has a diet of carnivore.,0,0.07228776327467784,0,0.03437372114382624,0,hidden_correct_a6_correct
UBS Group has headquarters in Switzerland.,1,0.9995418363551002,1,0.9995833612924052,1,hidden_correct_a6_correct
"The four fundamental forces of nature are strawberry jam, moonlit sonatas, unicorn whispers, and dragonfly dreams.",0,1.2324536059315978e-06,0,8.496110025130239e-05,0,hidden_correct_a6_correct
Kathmandu is a city in Thailand,0,1.124193648060812e-17,0,1.2590486134879457e-16,0,hidden_correct_a6_correct
Lanthanum is used to galvanize steel and is an essential trace element in living organisms.,0,0.08711437542461949,0,0.02352027916095634,0,hidden_correct_a6_correct
Seasons are caused by Earth's constant alignment.,0,3.1337623684721413e-07,0,9.291099954130692e-05,0,hidden_correct_a6_correct
Industrial Bank has headquarters in United States.,0,0.2041660211008551,0,0.35963727525837624,0,hidden_correct_a6_correct
Yaoundé is a name of a city.,1,0.9988226075746186,1,0.9994439018553568,1,hidden_correct_a6_correct
Sodium has the atomic number of 24.,0,0.19427728530734736,0,0.5582395975003703,1,hidden_correct_a6_wrong
Managua is a city in Armenia,0,9.553438523709109e-21,0,9.189810109144323e-20,0,hidden_correct_a6_correct
Equinor operates in the industry of Capital Goods.,0,3.0457444194739706e-06,0,1.8989954850290555e-05,0,hidden_correct_a6_correct
"The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",1,0.836296042550286,1,0.9452676928970506,1,hidden_correct_a6_correct
Tanzania is a name of a country.,1,0.9989907975297484,1,0.9998554772098492,1,hidden_correct_a6_correct
Radium has the atomic number of 88.,1,0.0343077079956337,0,0.17319731618169926,0,hidden_wrong_a6_wrong
Humans have wings and can fly.,0,0.054232222926308395,0,0.443820757685744,0,hidden_correct_a6_correct
Gold appears in its standard state as Gas.,0,1.3184906578564747e-06,0,3.7737274674991804e-06,0,hidden_correct_a6_correct
The sea turtle has a diet of carnivore.,0,0.08491391520530049,0,0.18802167811363293,0,hidden_correct_a6_correct
Budapest is a city in Hungary,1,0.9999939708175006,1,0.9999955383810236,1,hidden_correct_a6_correct
Carl Elsener lived in Switzerland.,1,0.05114566231991709,0,0.007489696054359444,0,hidden_wrong_a6_wrong
Lusaka is a city in Zambia,1,0.9999968840389112,1,0.9999999539771648,1,hidden_correct_a6_correct
The armadillo uses swimming for locomotion.,0,0.008452195813196804,0,0.004473494340706919,0,hidden_correct_a6_correct
