statement,label,hidden_prob,fusion_prob,hidden_pred,fusion_pred,case_type
The crocodile is a reptile.,1,0.9999634541326,0.9999634541326,1,1,hidden_correct_fusion_correct
Exxon Mobil has headquarters in Switzerland.,0,4.385182871488666e-06,4.385182871488666e-06,0,0,hidden_correct_fusion_correct
Beryllium has the atomic number of 36.,0,0.010982070030310534,0.010982070030310534,0,0,hidden_correct_fusion_correct
The walrus has the atomic number of mollusk.,0,1.1531317682057979e-05,1.1531317682057979e-05,0,0,hidden_correct_fusion_correct
Ruthenium is in the Lanthanide group.,0,0.03557720235352598,0.03557720235352598,0,0,hidden_correct_fusion_correct
"Human uses for vulture include work, tourism, conservation.",0,0.22549682112129174,0.22549682112129174,0,0,hidden_correct_fusion_correct
The bison is the heaviest land animal in north america and forms large herds for protection.,1,0.9982461785235014,0.9982461785235014,1,1,hidden_correct_fusion_correct
The porcupine has a habitat of marine.,0,1.5494283998689454e-09,1.5494283998689454e-09,0,0,hidden_correct_fusion_correct
William Congreve invented the Congreve rocket.,1,0.9127670235354595,0.9127670235354595,1,1,hidden_correct_fusion_correct
Protactinium appears in its standard state as Gas.,0,0.0030852822200763404,0.0030852822200763404,0,0,hidden_correct_fusion_correct
Elihu Thomson lived in U.S.,1,0.9082866245529337,0.9082866245529337,1,1,hidden_correct_fusion_correct
Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of Trading Companies.,0,0.004856054231249431,0.004856054231249431,0,0,hidden_correct_fusion_correct
Nikola Tesla lived in Austrian Empire (modern-day Croatia)/U.S.,1,3.0774415959470648e-06,3.0774415959470648e-06,0,0,hidden_wrong_fusion_wrong
Cayenne is a name of a country.,0,0.0006832064191557597,0.0006832064191557597,0,0,hidden_correct_fusion_correct
Italy is a name of a country.,1,0.9862018503829311,0.9862018503829311,1,1,hidden_correct_fusion_correct
El Salvador is a name of a city.,0,2.5930888793244946e-05,2.5930888793244946e-05,0,0,hidden_correct_fusion_correct
The bee is a insect.,1,0.9994430241693313,0.9994430241693313,1,1,hidden_correct_fusion_correct
Pizza is a type of food that many people enjoy.,1,0.9999978909208138,0.9999978909208138,1,1,hidden_correct_fusion_correct
The rat is a mammal.,1,0.9999999261514602,0.9999999261514602,1,1,hidden_correct_fusion_correct
U.S. Bancorp operates in the industry of banking.,1,0.9759926600030221,0.9759926600030221,1,1,hidden_correct_fusion_correct
The seagull has the atomic number of mammal.,0,7.552695482506527e-06,7.552695482506527e-06,0,0,hidden_correct_fusion_correct
"Human uses for kangaroo include tourism, zoos, meat.",1,0.08160587725998673,0.08160587725998673,0,0,hidden_wrong_fusion_wrong
Algeria is a name of a city.,0,3.0014743283780113e-07,3.0014743283780113e-07,0,0,hidden_correct_fusion_correct
Intesa Sanpaolo engages in the provision of financial products and banking services..,1,0.3688744024693784,0.2939418567758202,0,0,hidden_wrong_fusion_wrong
