split,statement,label,ppl_score
train,Mercedes-Benz Group operates as an integrated oil and gas company..,0,48.6402587890625
train,The study of heredity and the variation of inherited characteristics is called genetics.,1,12.68946647644043
train,Frederick McKinley Jones invented the karaoke machine.,0,42.27315139770508
train,Tarawa is a city in Mexico,0,68.55378723144531
train,There are no rivers in Africa.,0,38.95823287963867
train,Alec Jeffreys invented the phonograph (independent inventor).,0,75.33815002441406
train,The Great Sphinx of Giza is an ancient statue in Egypt.,1,9.257244110107422
train,Honda Motor has headquarters in United States.,0,113.0614013671875
train,Carlos Glidden invented the typewriter.,1,326.7354431152344
train,"Stellantis operates in the industry of Food, Drink & Tobacco.",0,31.06437873840332
train,William Kelly lived in U.S.,1,99.95829010009766
train,New York City is the world's largest city and the most populated city in the United States.,0,3.85006046295166
train,Cars need gasoline or electricity to run.,1,33.64553451538086
train,Barbados is a name of a city.,0,27.82265281677246
train,Sana'a is a city in Monaco,0,182.78318786621094
train,"The three main types of asymbiotic relationships are competition, antagonism, and predation.",0,22.039081573486328
train,Lithium is essential for thyroid function and is used as a disinfectant.,0,20.654891967773438
train,Robert Chesebrough invented the Vaseline.,1,64.48089599609375
train,Washington D.C. is a name of a city.,1,14.328670501708984
train,The eagle has the atomic number of mammal.,0,219.93603515625
train,Chevron operates in the industry of Banking.,0,66.64734649658203
train,Beryllium has the atomic number of 4.,1,7.718166351318359
train,"Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities..",1,50.65763854980469
train,Joseph Swan lived in U.K.,1,339.4252624511719
train,Kathmandu is a city in Nepal,1,6.52681827545166
train,Iodine has the symbol I.,1,35.503326416015625
train,The hedgehog has a habitat of various.,1,139.3795166015625
train,Elisha Gray lived in U.S.,1,66.99585723876953
train,Hans Oersted lived in U.S.,0,103.49052429199219
train,Novartis operates in the industry of Banking.,0,77.92097473144531
train,Medtronic has headquarters in Ireland.,1,23.43780517578125
train,Frederick Walton invented the linoleum.,1,62.317970275878906
train,Scandium is in the Noble gas group.,0,32.1884651184082
train,Libreville is a name of a country.,0,23.514738082885742
train,Hydrogen appears in its standard state as Gas.,1,49.93400192260742
train,Berkshire Hathaway has headquarters in United States.,1,30.12688446044922
train,The rabbit is a mammal.,1,49.11180877685547
train,Helsinki is a city in Finland,1,12.62397289276123
train,Karl Benz invented the industrial robot.,0,98.84868621826172
train,Ruthenium appears in its standard state as Solid.,1,125.54269409179688
train,LVMH Moet Hennessy Louis Vuitton has headquarters in Japan.,0,17.72360610961914
train,Guglielmo Marconi invented the Christmas card.,0,101.81767272949219
train,Pretoria is a name of a country.,0,39.84288024902344
train,Hitachi has headquarters in Japan.,0,32.825103759765625
train,Mitsubishi has headquarters in Japan.,1,41.69120407104492
train,BP operates in the industry of oil & gas operations.,1,21.762706756591797
train,Road Town was founded in 1770 by the British.,0,11.25501823425293
train,Tehran is a name of a country.,0,23.58469009399414
train,The bat has the atomic number of bird.,0,632.190673828125
train,Holmium has the symbol Ho.,1,33.384071350097656
train,Reliance Industries operates in the industry of Semiconductors.,0,17.739810943603516
train,Holmium is in the Lanthanide group.,1,13.322066307067871
train,Potassium is an excellent conductor of electricity and is used in wiring and pipes.,0,15.470053672790527
train,Neon is used in neon signs and produces a distinct reddish-orange glow.,1,24.492918014526367
train,China State Construction Engineering has headquarters in Canada.,0,75.53937530517578
train,Kinshasa is a city in South Ossetia,0,15.075248718261719
train,The first person to walk on the moon was Elvis Presley.,0,13.108336448669434
train,"Beryllium is a lightweight, strong metal used in aerospace and other applications.",1,11.641679763793945
train,Oxygen has the symbol Ne.,0,222.8877410888672
train,"AIA Group is an investment holding company, which engages in the provision of life insurance..",1,24.429088592529297
train,André-Jacques Garnerin invented the frameless parachute.,1,111.52185821533203
train,The hamster uses drifting for locomotion.,0,395.7673034667969
train,Bangkok is a city in Moldova,0,51.8653450012207
train,Sir Sandford Fleming lived in U.S.,0,79.20967102050781
train,Linus Torvalds invented the Linux operating system.,1,6.360311031341553
train,Target has headquarters in United States.,1,114.2868881225586
train,Hafnium is in the Transition metal group.,1,20.438777923583984
train,The manta ray uses walking for locomotion.,0,128.6715545654297
train,Christian Huygens invented the ATM.,0,273.8931579589844
train,Alessandro Volta invented the electric battery.,1,19.797943115234375
train,George Eastman lived in U.K.,0,151.89898681640625
train,The camel has a diet of herbivore.,1,73.46886444091797
train,"National Australia Bank is a materials science company, combining science and technology to develop innovative solutions..",0,43.90978240966797
train,Sumitomo Mitsui Financial operates in the industry of banking.,1,30.4906005859375
train,Bucharest is a name of a city.,1,102.08534240722656
train,Baku is a city in Azerbaijan,1,14.78522777557373
train,Gordon Gould lived in U.S.,1,96.85767364501953
train,Kuwait City is a city in Kuwait,1,10.26845932006836
train,Frank Bunker Gilbreth invented the motion study.,1,66.45142364501953
train,Banjul is a name of a city.,1,21.262866973876953
train,"Human uses for alpaca include pets, meat, fur.",0,570.5653686523438
train,Marvin Camras invented the magnetic recording.,1,564.059814453125
train,The gorilla has a habitat of forest.,1,58.265220642089844
train,George de Mestral invented the velcro.,1,36.69609832763672
train,The giraffe has the atomic number of crustacean.,0,111.12256622314453
train,Microsoft has headquarters in Germany.,0,168.9140167236328
train,Israel is a name of a country.,1,18.056108474731445
train,The llama uses flying for locomotion.,0,774.8300170898438
train,Itau Unibanco Holding operates in the industry of banking.,1,47.57876968383789
train,The seagull has a habitat of grassland.,0,46.396575927734375
train,"Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems..",0,13.560951232910156
train,The deer is a mammal.,1,42.67817306518555
train,"Toyota Motor engages in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets..",0,18.932586669921875
train,Nuku?alofa is a name of a city.,1,45.60442352294922
train,Abuja is a name of a country.,0,39.02941131591797
train,Ruth Benerito invented the Barbie doll.,0,196.23663330078125
train,Finland is a name of a country.,1,12.236681938171387
train,Manulife engages in business of product trading and business investment activities..,0,121.89077758789062
train,Neodymium has the atomic number of 60.,1,9.574079513549805
train,Tellurium has the symbol O.,0,135.60305786132812
train,Argon is in the Lanthanide group.,0,19.45220375061035
train,Rubidium appears in its standard state as Solid.,1,68.90376281738281
train,Carbon forms more compounds than any other element.,1,22.66487693786621
train,BlackRock has headquarters in Russia.,0,361.2157287597656
train,St. Helier is a city in Bahrain,0,51.176395416259766
train,The only continent without any deserts is Australia.,0,40.90280532836914
train,Rhenium is in the Transition metal group.,1,22.07693099975586
train,Bristol Myers Squibb has headquarters in United States.,1,25.37562370300293
train,Felix Hoffmann lived in U.S.,0,96.38787078857422
train,Stellantis has headquarters in United States.,0,61.79121398925781
train,The iguana has the atomic number of bird.,0,174.0675506591797
train,Protactinium has the atomic number of 91.,1,5.889429092407227
train,Lloyds Banking Group is a holding company that engages in the provision of financial products and services..,0,8.676050186157227
train,"The kangaroo has antlers that are shed and regrown annually, and is a good swimmer.",0,25.950658798217773
train,The tarantula has a diet of carnivore.,0,40.43667221069336
train,"Austin was founded on March 2, 1835.",0,7.649565696716309
train,Iceland is a name of a city.,0,63.967750549316406
train,"SAP is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries..",0,7.9726881980896
train,Hafnium has the symbol Nd.,0,39.026573181152344
train,Berkshire Hathaway operates in the industry of diversified financials.,1,19.26055335998535
train,Rhodium has the atomic number of 48.,0,20.127731323242188
train,Pristina is a name of a country.,0,28.55780792236328
train,"Ottawa reached a population peak of over 200,000 in the early 20th century, but has since declined.",0,5.760920524597168
train,Dow operates in the industry of chemicals.,1,55.38051986694336
train,South Sudan is a name of a city.,0,50.16670608520508
train,"Kuala has a population of 1,890,000.",0,8.906315803527832
train,Dhaka is a city in Bangladesh,1,10.003496170043945
train,Scandium appears in its standard state as Solid.,1,130.22816467285156
train,"The Eiffel Tower is located in Paris, France.",1,5.054906845092773
train,The deer uses flying for locomotion.,0,623.070068359375
train,Dili is a city in East Timor,1,8.833330154418945
train,"Rhenium is used in coins, batteries, and corrosion-resistant alloys.",0,22.257896423339844
